"","Feeder_Interval_in_seconds","Subject","date","Weight","session_consumption","sess_consump_g_per_kg","total_daily_water","overnight_consumption","mean_sess_consump"
"1","NA (baseline or weekend)","Citrine",2023-04-17,5.2,110,21.1538461538462,179,69,77.7281553398058
"2","NA (baseline or weekend)","Citrine",2023-04-18,5.2,121,23.2692307692308,265,144,77.7281553398058
"3","NA (baseline or weekend)","Citrine",2023-04-19,5.2,99,19.0384615384615,143,44,77.7281553398058
"4","NA (baseline or weekend)","Citrine",2023-04-20,5.2,97,18.6538461538462,168,71,77.7281553398058
"5","NA (baseline or weekend)","Citrine",2023-04-21,5.2,105,20.1923076923077,135,30,77.7281553398058
"6","NA (baseline or weekend)","Citrine",2023-04-22,5.2,31,5.96153846153846,190,159,77.7281553398058
"7","NA (baseline or weekend)","Citrine",2023-04-23,5.2,3,0.576923076923077,167,164,77.7281553398058
"8","NA (baseline or weekend)","Citrine",2023-04-24,5.32,94,17.6691729323308,203,109,77.7281553398058
"9","NA (baseline or weekend)","Citrine",2023-04-25,5.32,95,17.8571428571429,161,66,77.7281553398058
"10","NA (baseline or weekend)","Citrine",2023-04-26,5.32,98,18.4210526315789,162,64,77.7281553398058
"11","NA (baseline or weekend)","Citrine",2023-04-27,5.32,98,18.4210526315789,170,72,77.7281553398058
"12","NA (baseline or weekend)","Citrine",2023-04-28,5.32,101,18.984962406015,140,39,77.7281553398058
"13","NA (baseline or weekend)","Citrine",2023-04-29,5.32,88,16.5413533834586,165,77,77.7281553398058
"14","NA (baseline or weekend)","Citrine",2023-04-30,5.32,129,24.2481203007519,230,101,77.7281553398058
"15","60","Citrine",2023-05-01,5.33,128,24.015009380863,208,80,38.6
"16","60","Citrine",2023-05-02,5.33,29,5.44090056285178,162,133,38.6
"17","60","Citrine",2023-05-03,5.33,81,15.1969981238274,205,124,38.6
"18","60","Citrine",2023-05-04,5.33,61,11.4446529080675,181,120,38.6
"19","60","Citrine",2023-05-05,5.33,32,6.00375234521576,146,114,38.6
"20","NA (baseline or weekend)","Citrine",2023-05-06,5.33,42,7.87992495309568,159,117,77.7281553398058
"21","NA (baseline or weekend)","Citrine",2023-05-07,5.33,43,8.06754221388368,147,104,77.7281553398058
"22","120","Citrine",2023-05-08,5.46,43,7.87545787545788,118,75,38.2222222222222
"23","120","Citrine",2023-05-09,5.46,68,12.4542124542125,136,68,38.2222222222222
"24","120","Citrine",2023-05-10,5.46,46,8.42490842490843,191,145,38.2222222222222
"25","120","Citrine",2023-05-11,5.46,51,9.34065934065934,135,84,38.2222222222222
"26","NA (baseline or weekend)","Citrine",2023-05-12,5.46,59,10.8058608058608,143,84,77.7281553398058
"27","NA (baseline or weekend)","Citrine",2023-05-13,5.46,54,9.89010989010989,145,91,77.7281553398058
"28","NA (baseline or weekend)","Citrine",2023-05-14,5.46,73,13.3699633699634,149,76,77.7281553398058
"29","NA (baseline or weekend)","Citrine",2023-05-15,5.2,101,19.4230769230769,NA,NA,77.7281553398058
"30","NA (baseline or weekend)","Elia",2023-05-15,5,94,18.8,289,195,148.818181818182
"31","NA (baseline or weekend)","Citrine",2023-05-16,5.2,83,15.9615384615385,121,38,77.7281553398058
"32","NA (baseline or weekend)","Elia",2023-05-16,5,163,32.6,287,124,148.818181818182
"33","NA (baseline or weekend)","Citrine",2023-05-17,5.2,73,14.0384615384615,158,85,77.7281553398058
"34","NA (baseline or weekend)","Elia",2023-05-17,5,117,23.4,NA,NA,148.818181818182
"35","NA (baseline or weekend)","Citrine",2023-05-18,5.2,76,14.6153846153846,156,80,77.7281553398058
"36","NA (baseline or weekend)","Elia",2023-05-18,5,115,23,331,216,148.818181818182
"37","NA (baseline or weekend)","Citrine",2023-05-19,5.2,104,20,144,40,77.7281553398058
"38","NA (baseline or weekend)","Elia",2023-05-19,5,98,19.6,NA,NA,148.818181818182
"39","NA (baseline or weekend)","Citrine",2023-05-20,5.2,88,16.9230769230769,155,67,77.7281553398058
"40","NA (baseline or weekend)","Elia",2023-05-20,5,61,12.2,284,223,148.818181818182
"41","NA (baseline or weekend)","Elia",2023-05-21,5,NA,NA,NA,155,148.818181818182
"42","NA (baseline or weekend)","Citrine",2023-05-21,5.2,80,15.3846153846154,NA,NA,77.7281553398058
"43","180","Citrine",2023-05-22,5.2,33,6.34615384615385,119,86,16.5
"44","NA (baseline or weekend)","Elia",2023-05-22,4.92,145,29.4715447154472,304,159,148.818181818182
"45","NA (baseline or weekend)","Elia",2023-05-23,4.92,104,21.1382113821138,287,183,148.818181818182
"46","180","Citrine",2023-05-23,5.2,34,6.53846153846154,81,47,16.5
"47","NA (baseline or weekend)","Elia",2023-05-24,4.92,145,29.4715447154472,311,166,148.818181818182
"48","180","Citrine",2023-05-24,5.2,65,12.5,142,77,16.5
"49","NA (baseline or weekend)","Elia",2023-05-25,4.92,133,27.0325203252033,340,207,148.818181818182
"50","180","Citrine",2023-05-25,5.2,60,11.5384615384615,124,64,16.5
"51","NA (baseline or weekend)","Elia",2023-05-26,4.92,161,32.7235772357724,NA,NA,148.818181818182
"52","180","Citrine",2023-05-26,5.2,74,14.2307692307692,181,107,16.5
"53","NA (baseline or weekend)","Elia",2023-05-27,4.92,84,17.0731707317073,275,191,148.818181818182
"54","NA (baseline or weekend)","Citrine",2023-05-27,5.2,85,16.3461538461538,174,89,77.7281553398058
"55","NA (baseline or weekend)","Elia",2023-05-28,4.92,128,26.0162601626016,302,174,148.818181818182
"56","NA (baseline or weekend)","Citrine",2023-05-28,5.2,74,14.2307692307692,153,79,77.7281553398058
"57","60","Elia",2023-05-29,5.01,32,6.3872255489022,144,112,48.1
"58","NA (baseline or weekend)","Citrine",2023-05-29,5.25,95,18.0952380952381,138,43,77.7281553398058
"59","60","Elia",2023-05-30,5.01,54,10.7784431137725,161,107,48.1
"60","NA (baseline or weekend)","Citrine",2023-05-30,5.25,102,19.4285714285714,130,28,77.7281553398058
"61","60","Elia",2023-05-31,5.01,30,5.98802395209581,134,104,48.1
"62","NA (baseline or weekend)","Citrine",2023-05-31,5.25,98,18.6666666666667,151,53,77.7281553398058
"63","60","Elia",2023-06-01,5.01,59,11.7764471057884,225,166,48.1
"64","NA (baseline or weekend)","Citrine",2023-06-01,5.25,74,14.0952380952381,134,60,77.7281553398058
"65","60","Elia",2023-06-02,5.01,55,10.9780439121756,213,158,48.1
"66","NA (baseline or weekend)","Citrine",2023-06-02,5.25,73,13.9047619047619,136,63,77.7281553398058
"67","NA (baseline or weekend)","Elia",2023-06-03,5.01,139,27.7445109780439,298,159,148.818181818182
"68","NA (baseline or weekend)","Citrine",2023-06-03,5.25,67,12.7619047619048,159,92,77.7281553398058
"69","NA (baseline or weekend)","Elia",2023-06-04,5.01,108,21.5568862275449,299,191,148.818181818182
"70","NA (baseline or weekend)","Citrine",2023-06-04,5.25,53,10.0952380952381,144,91,77.7281553398058
"71","NA (baseline or weekend)","Elia",2023-06-05,5.01,4,0.798403193612774,275,271,148.818181818182
"72","240","Citrine",2023-06-05,5.38,NA,NA,NA,NA,36.7142857142857
"73","NA (baseline or weekend)","Elia",2023-06-06,4.79,113,23.5908141962422,305,192,148.818181818182
"74","240","Citrine",2023-06-06,5.38,NA,NA,NA,NA,36.7142857142857
"75","NA (baseline or weekend)","Elia",2023-06-07,4.79,133,27.7661795407098,318,185,148.818181818182
"76","240","Citrine",2023-06-07,5.38,62,11.5241635687732,150,88,36.7142857142857
"77","NA (baseline or weekend)","Elia",2023-06-08,4.79,134,27.9749478079332,299,165,148.818181818182
"78","240","Citrine",2023-06-08,5.38,69,12.8252788104089,160,91,36.7142857142857
"79","NA (baseline or weekend)","Elia",2023-06-09,4.6,146,31.7391304347826,307,161,148.818181818182
"80","240","Citrine",2023-06-09,5.38,NA,NA,NA,NA,36.7142857142857
"81","NA (baseline or weekend)","Elia",2023-06-10,4.6,82,17.8260869565217,296,214,148.818181818182
"82","NA (baseline or weekend)","Citrine",2023-06-10,5.38,89,16.542750929368,178,89,77.7281553398058
"83","NA (baseline or weekend)","Elia",2023-06-11,4.6,108,23.4782608695652,275,167,148.818181818182
"84","NA (baseline or weekend)","Citrine",2023-06-11,5.38,77,14.3122676579926,166,89,77.7281553398058
"85","120","Elia",2023-06-12,4.5,128,28.4444444444444,318,190,72.4
"86","NA (baseline or weekend)","Citrine",2023-06-12,5,NA,NA,NA,NA,77.7281553398058
