"","date","Subject","Phase","Feeder_Interval","Time","Location","Body_Position","Activity","Interaction","period","rel_time","action_cat"
"1",2023-05-24,"Citrine","Intervention_Weekday",180,09:30:42,"5","Rearing","Locomotion",NA,0,0,"Active"
"2",2023-05-24,"Citrine","Intervention_Weekday",180,09:30:57,"5","Standing","Pause",NA,15,15,"Inactive"
"3",2023-05-24,"Citrine","Intervention_Weekday",180,09:31:12,"Shelf","Sitting","Resting",NA,30,30,"Inactive"
"4",2023-05-24,"Citrine","Intervention_Weekday",180,09:31:27,"Shelf","Sitting","Resting",NA,45,45,"Inactive"
"5",2023-05-24,"Citrine","Intervention_Weekday",180,09:31:42,"Shelf","Sitting","Resting",NA,0,60,"Inactive"
"6",2023-05-24,"Citrine","Intervention_Weekday",180,09:31:57,"Shelf","Sitting","Resting",NA,15,75,"Inactive"
"7",2023-05-24,"Citrine","Intervention_Weekday",180,09:32:12,"Shelf","Sitting","Resting",NA,30,90,"Inactive"
"8",2023-05-24,"Citrine","Intervention_Weekday",180,09:32:27,"Shelf","Sitting","Resting",NA,45,105,"Inactive"
"9",2023-05-24,"Citrine","Intervention_Weekday",180,09:32:42,"Shelf","Sitting","Resting",NA,0,120,"Inactive"
"10",2023-05-24,"Citrine","Intervention_Weekday",180,09:32:57,"Shelf","Sitting","Resting",NA,15,135,"Inactive"
"11",2023-05-24,"Citrine","Intervention_Weekday",180,09:33:12,"Feeder","Sitting","Pause",NA,30,150,"Inactive"
"12",2023-05-24,"Citrine","Intervention_Weekday",180,09:33:27,"Feeder","Sitting","Pause",NA,45,165,"Inactive"
"13",2023-05-24,"Citrine","Intervention_Weekday",180,09:33:42,"4","Standing","Locomotion",NA,0,180,"Active"
"14",2023-05-24,"Citrine","Intervention_Weekday",180,09:33:57,"Shelf","Standing","Locomotion",NA,15,0,"Active"
"15",2023-05-24,"Citrine","Intervention_Weekday",180,09:34:12,"4","Standing","Locomotion",NA,30,15,"Active"
"16",2023-05-24,"Citrine","Intervention_Weekday",180,09:34:27,"Feeder","Standing","Pause",NA,45,30,"Inactive"
"17",2023-05-24,"Citrine","Intervention_Weekday",180,09:34:42,"Feeder","Standing","Pause",NA,0,45,"Inactive"
"18",2023-05-24,"Citrine","Intervention_Weekday",180,09:34:57,"Fence","Standing","Pause",NA,15,60,"Inactive"
"19",2023-05-24,"Citrine","Intervention_Weekday",180,09:35:12,"3","Standing","Locomotion",NA,30,75,"Active"
"20",2023-05-24,"Citrine","Intervention_Weekday",180,09:35:27,"Shelf","Standing","Pause",NA,45,90,"Inactive"
"21",2023-05-24,"Citrine","Intervention_Weekday",180,09:35:42,"3","Standing","Locomotion",NA,0,105,"Active"
"22",2023-05-24,"Citrine","Intervention_Weekday",180,09:35:57,"5","Rearing","Pause",NA,15,120,"Inactive"
"23",2023-05-24,"Citrine","Intervention_Weekday",180,09:36:12,"6","Standing","Manipulating Object","Feeder",30,135,"Active"
"24",2023-05-24,"Citrine","Intervention_Weekday",180,09:36:27,"4","Standing","Locomotion",NA,45,150,"Active"
"25",2023-05-24,"Citrine","Intervention_Weekday",180,09:36:42,"5","Rearing","Pause",NA,0,165,"Inactive"
"26",2023-05-24,"Citrine","Intervention_Weekday",180,09:36:57,"5","Rearing","Pause",NA,15,180,"Inactive"
