,date,Subject,Phase,Feeder_Interval,Time,Location,Body_Position,Activity,Interaction,period,rel_time,action_cat,TimeToFeeding,Active,Feeder,Intervention
1,2023-05-24,Citrine,Intervention_Weekday,180,09:30:42,5,Rearing,Locomotion,,0,0,Active,180,1,False,True
2,2023-05-24,Citrine,Intervention_Weekday,180,09:30:57,5,Standing,Pause,,15,15,Inactive,165,0,False,True
3,2023-05-24,Citrine,Intervention_Weekday,180,09:31:12,Shelf,Sitting,Resting,,30,30,Inactive,150,0,False,True
4,2023-05-24,Citrine,Intervention_Weekday,180,09:31:27,Shelf,Sitting,Resting,,45,45,Inactive,135,0,False,True
5,2023-05-24,Citrine,Intervention_Weekday,180,09:31:42,Shelf,Sitting,Resting,,0,60,Inactive,120,0,False,True
6,2023-05-24,Citrine,Intervention_Weekday,180,09:31:57,Shelf,Sitting,Resting,,15,75,Inactive,105,0,False,True
7,2023-05-24,Citrine,Intervention_Weekday,180,09:32:12,Shelf,Sitting,Resting,,30,90,Inactive,90,0,False,True
8,2023-05-24,Citrine,Intervention_Weekday,180,09:32:27,Shelf,Sitting,Resting,,45,105,Inactive,75,0,False,True
9,2023-05-24,Citrine,Intervention_Weekday,180,09:32:42,Shelf,Sitting,Resting,,0,120,Inactive,60,0,False,True
10,2023-05-24,Citrine,Intervention_Weekday,180,09:32:57,Shelf,Sitting,Resting,,15,135,Inactive,45,0,False,True
11,2023-05-24,Citrine,Intervention_Weekday,180,09:33:12,Feeder,Sitting,Pause,,30,150,Inactive,30,0,True,True
12,2023-05-24,Citrine,Intervention_Weekday,180,09:33:27,Feeder,Sitting,Pause,,45,165,Inactive,15,0,True,True
13,2023-05-24,Citrine,Intervention_Weekday,180,09:33:42,4,Standing,Locomotion,,0,180,Active,0,1,False,True
14,2023-05-24,Citrine,Intervention_Weekday,180,09:33:57,Shelf,Standing,Locomotion,,15,0,Active,180,1,False,True
15,2023-05-24,Citrine,Intervention_Weekday,180,09:34:12,4,Standing,Locomotion,,30,15,Active,165,1,False,True
16,2023-05-24,Citrine,Intervention_Weekday,180,09:34:27,Feeder,Standing,Pause,,45,30,Inactive,150,0,True,True
17,2023-05-24,Citrine,Intervention_Weekday,180,09:34:42,Feeder,Standing,Pause,,0,45,Inactive,135,0,True,True
18,2023-05-24,Citrine,Intervention_Weekday,180,09:34:57,Fence,Standing,Pause,,15,60,Inactive,120,0,False,True
19,2023-05-24,Citrine,Intervention_Weekday,180,09:35:12,3,Standing,Locomotion,,30,75,Active,105,1,False,True
20,2023-05-24,Citrine,Intervention_Weekday,180,09:35:27,Shelf,Standing,Pause,,45,90,Inactive,90,0,False,True
21,2023-05-24,Citrine,Intervention_Weekday,180,09:35:42,3,Standing,Locomotion,,0,105,Active,75,1,False,True
22,2023-05-24,Citrine,Intervention_Weekday,180,09:35:57,5,Rearing,Pause,,15,120,Inactive,60,0,False,True
23,2023-05-24,Citrine,Intervention_Weekday,180,09:36:12,6,Standing,Manipulating Object,Feeder,30,135,Active,45,1,False,True
24,2023-05-24,Citrine,Intervention_Weekday,180,09:36:27,4,Standing,Locomotion,,45,150,Active,30,1,False,True
25,2023-05-24,Citrine,Intervention_Weekday,180,09:36:42,5,Rearing,Pause,,0,165,Inactive,15,0,False,True
26,2023-05-24,Citrine,Intervention_Weekday,180,09:36:57,5,Rearing,Pause,,15,180,Inactive,0,0,False,True
27,2023-05-24,Citrine,Intervention_Weekday,180,09:37:12,Shelf,Standing,Pause,,30,0,Inactive,180,0,False,True
28,2023-05-24,Citrine,Intervention_Weekday,180,09:37:27,Shelf,Standing,Pause,,45,15,Inactive,165,0,False,True
29,2023-05-24,Citrine,Intervention_Weekday,180,09:37:42,Shelf,Standing,Pause,,0,30,Inactive,150,0,False,True
30,2023-05-24,Citrine,Intervention_Weekday,180,09:37:57,Shelf,Standing,Pause,,15,45,Inactive,135,0,False,True
